Cohort Graduation Rate Using Federal Guidelines 2023-24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School Information by Subgroup,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Note: An asterisk (*) indicates a subgroup population fewer than 10 students. A blank cell indicates no population for the subgroup.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District Number,District Name,School Number,Virtual Provider Number,School Name,Total Graduates,Total Cohort,Total Federal Graduation Rate,ESE Graduates,ESE Cohort,ESE Graduation Rate,Free/Reduced Lunch Graduates,Free/Reduced Lunch Cohort,Free/Reduced Lunch Graduation Rate,ELL Graduates,ELL Cohort,ELL Graduation Rate,Migrant Graduates,Migrant Cohort,Migrant Graduation Rate,At-Risk Graduates,At-Risk Cohort,At-Risk Graduation Rate,Male Graduates,Male Cohort,Male Graduation Rate,Female Graduates,Female Cohort,Female Graduation Rate
01,ALACHUA,0052,,A.QUINN JONES CENTER,2,13,15.4,*,*,*,1,10,10,,,,,,,*,*,*,2,11,18.2,*,*,*
01,ALACHUA,0081,,SIDNEY LANIER CENTER,13,13,100,13,13,100,*,*,*,,,,,,,,,,*,*,*,*,*,*
01,ALACHUA,0082,,HOSPITAL HOMEBOUND,*,*,*,*,*,*,*,*,*,*,*,*,,,,,,,*,*,*,*,*,*
01,ALACHUA,0151,,GAINESVILLE HIGH SCHOOL,395,422,93.6,49,55,89.1,154,177,87,28,31,90.3,*,*,*,,,,151,162,93.2,244,260,93.8
01,ALACHUA,0201,,HAWTHORNE MIDDLE/HIGH SCHOOL,50,61,82,10,12,83.3,37,46,80.4,,,,,,,*,*,*,24,34,70.6,26,27,96.3
01,ALACHUA,0261,,NEWBERRY HIGH SCHOOL,153,158,96.8,16,17,94.1,72,74,97.3,*,*,*,*,*,*,,,,71,74,95.9,82,84,97.6
01,ALACHUA,0271,,SANTA FE HIGH SCHOOL,228,264,86.4,26,35,74.3,85,105,81,*,*,*,*,*,*,,,,112,135,83,116,129,89.9
01,ALACHUA,0411,,PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH SCHOOL,61,61,100,21,21,100,26,26,100,*,*,*,,,,,,,44,44,100,17,17,100
01,ALACHUA,0421,,EASTSIDE HIGH SCHOOL,251,282,89,26,32,81.3,127,152,83.6,*,*,*,,,,,,,119,136,87.5,132,146,90.4
01,ALACHUA,0431,,F. W. BUCHHOLZ HIGH SCHOOL,539,561,96.1,54,57,94.7,157,169,92.9,12,12,100,,,,*,*,*,308,318,96.9,231,243,95.1
01,ALACHUA,0601,,CHALLENGE AT ALACHUA ACADEMY,*,*,*,,,,,,,,,,,,,,,,,,,*,*,*
01,ALACHUA,0603,,AMIKIDS,*,*,*,,,,*,*,*,,,,,,,*,*,*,*,*,*,,,
01,ALACHUA,0604,,PACE,*,*,*,*,*,*,*,*,*,,,,,,,*,*,*,,,,*,*,*
01,ALACHUA,0924,,SANTA FE COLLEGE HIGH SCHOOL DUAL ENROLLMENT,*,*,*,,,,*,*,*,,,,,,,,,,*,*,*,,,
01,ALACHUA,0961,,MICANOPY ACADEMY,13,13,100,*,*,*,*,*,*,,,,,,,,,,*,*,*,*,*,*
01,ALACHUA,0991,,"SIATECH MYCROSCHOOL, INC.",17,54,31.5,4,12,33.3,12,37,32.4,*,*,*,,,,*,*,*,12,40,30,5,14,35.7
01,ALACHUA,1003,,NORTH CENTRAL FLORIDA PUBLIC CHARTER SCHOOL,13,69,18.8,6,20,30,9,58,15.5,*,*,*,,,,*,*,*,5,28,17.9,8,41,19.5
01,ALACHUA,7004,,ALACHUA ESCHOOL (VIRTUAL FRANCHISE),50,82,61,9,15,60,27,49,55.1,,,,,,,,,,24,42,57.1,26,40,65
01,ALACHUA,9025,,ALACHUA REGIONAL JUEVNILE DETENTION CENTER,2,57,3.5,2,11,18.2,1,31,3.2,,,,,,,*,*,*,2,49,4.1,*,*,*
01,ALACHUA,9029,,ALACHUA REGIONAL JUVENILE DETENTION CENTER,*,*,*,*,*,*,*,*,*,,,,,,,*,*,*,*,*,*,,,
02,BAKER,0012,,BAKER COUNTY SENIOR HIGH SCHOOL,291,350,83.1,34,42,81,44,57,77.2,,,,,,,,,,138,181,76.2,153,169,90.5
03,BAY,0061,,BAY HIGH SCHOOL,254,285,89.1,46,55,83.6,38,46,82.6,21,22,95.5,,,,,,,135,154,87.7,119,131,90.8
03,BAY,0201,,SURFSIDE MIDDLE SCHOOL,*,*,*,*,*,*,,,,,,,,,,,,,*,*,*,,,
03,BAY,0281,,MARGARET K. LEWIS IN MILLVILLE,*,*,*,*,*,*,*,*,*,,,,,,,,,,*,*,*,*,*,*
03,BAY,0341,,RUTHERFORD HIGH SCHOOL,168,188,89.4,27,28,96.4,29,33,87.9,10,11,90.9,,,,*,*,*,82,94,87.2,86,94,91.5
03,BAY,0491,,A. CRAWFORD MOSLEY HIGH SCHOOL,464,482,96.3,52,56,92.9,35,39,89.7,9,12,75,,,,*,*,*,223,237,94.1,241,245,98.4
03,BAY,0531,,NEW HORIZONS LEARNING CENTER,9,16,56.3,9,16,56.3,*,*,*,*,*,*,,,,,,,9,15,60,*,*,*
03,BAY,0541,,DEANE BOZEMAN SCHOOL,149,151,98.7,20,21,95.2,14,15,93.3,*,*,*,,,,,,,73,73,100,76,78,97.4
